-4.333496093750000000e-03	-6.484985351562500000e-04	1.074218750000000000e-02	-3.719329833984375000e-04
4.711914062500000000e-02	-6.134033203125000000e-03	-2.689361572265625000e-04	5.957031250000000000e-02
7.890625000000000000e-01	7.070312500000000000e-01	1.000000000000000000e+00	5.937500000000000000e-01
8.789062500000000000e-01	9.609375000000000000e-01	1.007812500000000000e+00	1.564025878906250000e-03
1.000000000000000000e+00	8.710937500000000000e-01	1.855468750000000000e-01	1.184082031250000000e-02
9.804687500000000000e-01	5.937500000000000000e-01	7.890625000000000000e-01	4.052734375000000000e-02
2.111816406250000000e-02	9.726562500000000000e-01	1.647949218750000000e-02	7.446289062500000000e-03
2.954101562500000000e-02	1.865234375000000000e-01	8.789062500000000000e-01	8.164062500000000000e-01
6.640625000000000000e-01	4.941406250000000000e-01	-2.899169921875000000e-03	1.000000000000000000e+00
7.734375000000000000e-01	8.906250000000000000e-01	4.824218750000000000e-01	1.000000000000000000e+00
9.609375000000000000e-01	1.259765625000000000e-01	7.773437500000000000e-01	-2.731323242187500000e-03
2.851562500000000000e-01	8.867187500000000000e-01	-3.173828125000000000e-03	1.007812500000000000e+00
3.359375000000000000e-01	8.632812500000000000e-01	3.515625000000000000e-02	1.000000000000000000e+00
1.000000000000000000e+00	6.015625000000000000e-01	1.000000000000000000e+00	3.925781250000000000e-01
9.335937500000000000e-01	1.000000000000000000e+00	7.968750000000000000e-01	1.007812500000000000e+00
9.023437500000000000e-01	2.526855468750000000e-02	9.882812500000000000e-01	7.187500000000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	5.898437500000000000e-01
8.398437500000000000e-01	9.960937500000000000e-01	1.000000000000000000e+00	7.929687500000000000e-01
1.721191406250000000e-02	9.218750000000000000e-01	1.000000000000000000e+00	8.593750000000000000e-01
1.007812500000000000e+00	8.154296875000000000e-02	1.000000000000000000e+00	9.804687500000000000e-01
7.343750000000000000e-01	9.570312500000000000e-01	9.843750000000000000e-01	9.570312500000000000e-01
9.843750000000000000e-01	8.984375000000000000e-01	8.671875000000000000e-01	9.765625000000000000e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.000000000000000000e+00	9.882812500000000000e-01
9.960937500000000000e-01	1.000000000000000000e+00	1.000000000000000000e+00	6.601562500000000000e-01
4.238281250000000000e-01	9.531250000000000000e-01	9.453125000000000000e-01	9.843750000000000000e-01
2.070312500000000000e-01	1.000000000000000000e+00	6.835937500000000000e-01	1.000000000000000000e+00
1.007812500000000000e+00	1.000000000000000000e+00	1.007812500000000000e+00	9.726562500000000000e-01
1.000000000000000000e+00	1.972656250000000000e-01	1.000000000000000000e+00	9.921875000000000000e-01
