dataset,slice_name,method,display_label,primary_quality_metric,primary_quality_score,avg_answer_latency_sec,avg_frame_ingest_latency_sec,avg_ttft_sec,peak_memory_bytes,total_frames_ingested,total_conversations_answered,source_path
rvs_movie,subsample5_movie,full_streaming,full_streaming,avg_judge_score,0.8000000000000002,1.7508441963999455,0.09834561972290079,0.051933630466858935,4270675968,866,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie/full_streaming/full_streaming.json
rvs_movie,subsample5_movie,duo_streaming,duo_streaming (s=0.5),avg_judge_score,0.7866666666666667,2.18852869093292,0.08636753676784265,0.057731466932940144,3153161216,866,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie/duo_streaming/duo_streaming_s05.json
rvs_movie,subsample5_movie,duo_streaming,duo_streaming (s=0.0),avg_judge_score,0.8133333333333336,2.5107661043335003,0.0922711118406489,0.07004086073332777,4255881216,866,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie/duo_streaming/duo_streaming_s00.json
rvs_movie,subsample5_movie,rekv,"rekv (topk=64,n_local=15000)",avg_judge_score,0.8000000000000002,1.3105930630663352,0.09919950187877896,0.03780563839997437,2996721152,866,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie/rekv/rekv_topk64_nlocal15000.json
rvs_movie,subsample5_movie,duo_plus_rekv,"duo_plus_rekv (topk=64,s=0.375)",avg_judge_score,0.7866666666666667,1.6460887005331946,0.09909361174591283,0.04424638066727008,2986678272,866,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie/duo_plus_rekv/duo_plus_rekv_s0375_topk64_nlocal15000.json
rvs_movie,subsample5_movie_offset5,full_streaming,full_streaming,avg_judge_score,0.7733333333333335,3.726220891200258,0.14746371930492463,0.10188672800043909,6893573632,2161,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5/full_streaming/full_streaming.json
rvs_movie,subsample5_movie_offset5,duo_streaming,duo_streaming (s=0.5),avg_judge_score,0.7866666666666668,3.9887600507337386,0.11585057040990003,0.1164323610663511,4561562112,2161,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5/duo_streaming/duo_streaming_s05.json
rvs_movie,subsample5_movie_offset5,duo_streaming,duo_streaming (s=0.0),avg_judge_score,0.7733333333333335,6.015438902533303,0.13445919637027942,0.15779165166677558,6872292352,2161,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5/duo_streaming/duo_streaming_s00.json
rvs_movie,subsample5_movie_offset5,rekv,"rekv (topk=64,n_local=15000)",avg_judge_score,0.8000000000000002,1.3319125883999126,0.10429877974832316,0.03898993793360812,2887966208,2161,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5/rekv/rekv_topk64_nlocal15000.json
rvs_movie,subsample5_movie_offset5,duo_plus_rekv,"duo_plus_rekv (topk=64,s=0.375)",avg_judge_score,0.8000000000000002,1.4920666000000589,0.10432749764134128,0.04355558280003606,2878100992,2161,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-movie/subsample5_movie_offset5/duo_plus_rekv/duo_plus_rekv_s0375_topk64_nlocal15000.json
