dataset,slice_name,method,display_label,primary_quality_metric,primary_quality_score,avg_answer_latency_sec,avg_frame_ingest_latency_sec,avg_ttft_sec,peak_memory_bytes,peak_cpu_offload_bytes,total_frames_ingested,total_conversations_answered,source_path
rvs_ego,subsample5,full_streaming,full_streaming,avg_judge_score,0.7333333333333333,0.37124355799993886,0.03323685626089808,0.015917124333403383,3406411776,,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_topk32_memavg/full_streaming/full_streaming.json
rvs_ego,subsample5,duo_streaming,duo_streaming (s=0.5),avg_judge_score,0.76,0.5255122583332802,0.02573975473038185,0.033671443799782236,3459744768,,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_topk32_memavg/duo_streaming/duo_streaming_s05.json
rvs_ego,subsample5,rekv,"rekv (topk=32,n_local=15000)",avg_judge_score,0.7733333333333334,0.45591918593345326,0.037097704071489816,0.022097288000562307,2693518336,1011548160,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_topk32_memavg/rekv/rekv_topk32_nlocal15000.json
rvs_ego,subsample5,duo_plus_rekv,"duo_plus_rekv (topk=32,s=0.5)",avg_judge_score,0.7733333333333334,0.560428753800079,0.03672584544804231,0.03178341266636077,2703941120,1006731264,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_topk32_memavg/duo_plus_rekv/duo_plus_rekv_s05_sink256_recent512_topk32_nlocal15000.json
rvs_ego,subsample5,duo_plus_rekv,"duo_plus_rekv (topk=32,s=0.75)",avg_judge_score,0.7733333333333334,0.5872074096664922,0.03687492356481318,0.03238941546684752,2700512768,1006731264,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_topk32_memavg/duo_plus_rekv/duo_plus_rekv_s075_sink256_recent512_topk32_nlocal15000.json
rvs_ego,subsample5_offset5,full_streaming,full_streaming,avg_judge_score,0.7733333333333334,0.5402948901995842,0.03359119199015843,0.01587321819970384,3358516736,,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_offset5_topk32_memavg/full_streaming/full_streaming.json
rvs_ego,subsample5_offset5,duo_streaming,duo_streaming (s=0.5),avg_judge_score,0.7733333333333335,0.812313494066378,0.026010041371516735,0.03371499366670226,3458464256,,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_offset5_topk32_memavg/duo_streaming/duo_streaming_s05.json
rvs_ego,subsample5_offset5,rekv,"rekv (topk=32,n_local=15000)",avg_judge_score,0.7866666666666668,0.6599596755326881,0.037044450986290424,0.021982712799460083,2691289600,1011548160,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_offset5_topk32_memavg/rekv/rekv_topk32_nlocal15000.json
rvs_ego,subsample5_offset5,duo_plus_rekv,"duo_plus_rekv (topk=32,s=0.5)",avg_judge_score,0.7866666666666668,0.737250349266833,0.03633445679896243,0.03160542926683168,2702176256,1006731264,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_offset5_topk32_memavg/duo_plus_rekv/duo_plus_rekv_s05_sink256_recent512_topk32_nlocal15000.json
rvs_ego,subsample5_offset5,duo_plus_rekv,"duo_plus_rekv (topk=32,s=0.75)",avg_judge_score,0.7600000000000001,0.7051998743331448,0.036864311575572094,0.031705375133363606,2698749952,1006731264,1020,15,/workspace/streaming-vqa/outputs/evaluations_streaming/rvs-ego/subsample5_offset5_topk32_memavg/duo_plus_rekv/duo_plus_rekv_s075_sink256_recent512_topk32_nlocal15000.json
