mode,target_context,actual_context,prefix_seconds,prefix_ratio,num_frames,sparsity,ctx_latency,ctx_memory,gen_latency,gen_memory,prefill_total_ms,decode_tokens,oom
baseline,4000,4167,22.5,0.125,21,0.0,220.7699951171875,5434.322265625,14.3221923828125,4285.52783203125,,100,False
baseline,8000,8087,45.0,0.25,41,0.0,611.640087890625,10795.41015625,22.3260693359375,6681.26123046875,,100,False
baseline,12000,12007,67.5,0.375,61,0.0,1275.7875,21572.1728515625,26.782412109375,9087.0126953125,,100,False
baseline,16000,16123,90.0,0.5,82,0.0,2014.655859375,37354.865234375,28.485068359375,11604.33154296875,,100,False
baseline,20000,20043,112.5,0.625,102,0.0,2811.67578125,56659.80517578125,32.1680078125,14006.6181640625,,100,False
baseline,24000,24159,135.0,0.75,123,0.0,3733.934765625,81406.28857421875,34.7825439453125,16530.05615234375,,100,False
baseline,28000,28079,157.5,0.875,143,0.0,4774.0109375,109240.123046875,38.28690673828125,18932.17333984375,,100,False
baseline,32000,32000,180.0,1.0,164,0.0,5340.16484375,141246.81298828125,42.3028955078125,21335.77392578125,,100,False
duo,4000,4167,22.5,0.125,21,0.5,53.10762939453125,1921.0380859375,13.398160400390625,1832.30126953125,,100,False
duo,8000,8087,45.0,0.25,41,0.5,79.90325317382812,2098.48291015625,12.6248974609375,1912.18505859375,,100,False
duo,12000,12007,67.5,0.375,61,0.5,110.27347412109376,2278.083984375,12.989154052734374,1998.30712890625,,100,False
duo,16000,16123,90.0,0.5,82,0.5,152.60361328125,2459.8193359375,13.592076416015624,2078.68994140625,,100,False
duo,20000,20043,112.5,0.625,102,0.5,207.7261962890625,2637.9248046875,13.1220068359375,2160.70361328125,,100,False
duo,24000,24159,135.0,0.75,123,0.5,265.732958984375,2822.8525390625,13.196737060546875,2247.12158203125,,100,False
duo,28000,28079,157.5,0.875,143,0.5,330.5825927734375,2998.48486328125,13.501563720703125,2328.82958984375,,100,False
duo,32000,32000,180.0,1.0,164,0.5,387.9955810546875,3176.154296875,13.540211181640625,2412.19921875,,100,False
